======================================
First 2 Excitation States
======================================
Init Jacobian = 
[0.99310585]
Wavefunction (Initialization)
Figure Saved.
Thermalization...
After Thermalization:	pmove 0.49	step_size=1.3566	time=86.54s
After MCMC, with initial network, loss=8.72
Iter:0, LossE=8.69039(0.07824)	 pmove=0.49	stepsize=1.3543	 time=116.68s
Iter:1, LossE=9.32102(0.08715)	 pmove=0.49	stepsize=1.3520	 time=1.46s
Iter:2, LossE=8.47433(0.07708)	 pmove=0.49	stepsize=1.3498	 time=1.46s
Iter:3, LossE=8.60540(0.07765)	 pmove=0.49	stepsize=1.3475	 time=1.46s
Iter:4, LossE=8.84117(0.07937)	 pmove=0.49	stepsize=1.3452	 time=1.46s
Iter:5, LossE=8.57493(0.07922)	 pmove=0.49	stepsize=1.3430	 time=1.46s
Iter:6, LossE=8.08450(0.07177)	 pmove=0.49	stepsize=1.3407	 time=1.46s
Iter:7, LossE=7.86549(0.07015)	 pmove=0.49	stepsize=1.3385	 time=1.46s
Iter:8, LossE=7.95703(0.07143)	 pmove=0.49	stepsize=1.3362	 time=1.46s
Iter:9, LossE=8.00876(0.07355)	 pmove=0.49	stepsize=1.3340	 time=1.46s
Iter:10, LossE=7.91293(0.07293)	 pmove=0.49	stepsize=1.3317	 time=1.46s
Iter:11, LossE=7.62962(0.06948)	 pmove=0.48	stepsize=1.3295	 time=1.46s
Iter:12, LossE=7.36743(0.06731)	 pmove=0.49	stepsize=1.3273	 time=1.46s
Iter:13, LossE=7.40815(0.06769)	 pmove=0.49	stepsize=1.3250	 time=1.46s
Iter:14, LossE=7.26121(0.06655)	 pmove=0.48	stepsize=1.3228	 time=1.46s
Iter:15, LossE=7.21181(0.06533)	 pmove=0.48	stepsize=1.3206	 time=1.46s
Iter:16, LossE=7.11342(0.06392)	 pmove=0.49	stepsize=1.3184	 time=1.46s
Iter:17, LossE=7.04551(0.06668)	 pmove=0.49	stepsize=1.3162	 time=1.46s
Iter:18, LossE=6.82074(0.06345)	 pmove=0.48	stepsize=1.3140	 time=1.46s
Iter:19, LossE=6.60533(0.06069)	 pmove=0.48	stepsize=1.3117	 time=1.46s
Iter:20, LossE=6.53662(0.05892)	 pmove=0.48	stepsize=1.3095	 time=1.46s
Iter:21, LossE=6.50367(0.05964)	 pmove=0.48	stepsize=1.3073	 time=1.46s
Iter:22, LossE=6.39974(0.05884)	 pmove=0.48	stepsize=1.3052	 time=1.46s
Iter:23, LossE=6.25142(0.05748)	 pmove=0.48	stepsize=1.3030	 time=1.46s
Iter:24, LossE=6.26812(0.05799)	 pmove=0.48	stepsize=1.3008	 time=1.46s
Iter:25, LossE=6.08614(0.05685)	 pmove=0.48	stepsize=1.2986	 time=1.46s
Iter:26, LossE=5.89323(0.05411)	 pmove=0.48	stepsize=1.2964	 time=1.46s
Iter:27, LossE=5.85202(0.05372)	 pmove=0.48	stepsize=1.2942	 time=1.46s
Iter:28, LossE=5.78967(0.05279)	 pmove=0.48	stepsize=1.2921	 time=1.46s
